原土地使用权人,现土地使用权人,宗地标识,宗地编号,宗地座落,所在行政区,土地面积(公顷),土地用途,土地使用权类型,土地使用年限,土地利用状况,土地级别,转让方式,转让价格(万元),成交时间
广州义丰木业有限公司,广州市环力电力工程有限公司,,080301_20170515012906,广州市从化区城郊街新城西路54号,,0.2668,工业用地,出让,50,部分开发,九级,买卖,265.0000,2017/5/23 17:34:00
宝泰隆新材料股份有限公司,七台河宝泰隆环保建材有限公司,,201708,长兴乡马安村,,2.0640,工业用地,出让,42,,三级,买卖,0.0000,2017/6/12 9:38:26
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,C6,澄海区莲下镇培隆福建围外,,3.3333,其他土地,国有出让,41,场地平整,八级,作价出资入股,763.3300,2017/2/4 11:04:50
汕头市澄海区韩安奇服装有限公司,汕头市澄海区文艺智造文化有限公司,,440515006024JB80226,澄海区金鸿公路莲下路段东侧、金利路北面,,0.6667,工业用地,国有出让,48,场地平整,八级,买卖,1000.0000,2017/1/20 16:43:41
冷水江市盛达物资有限责任公司,湖南冷水江农村商业银行股份有限公司,,13-19-8-1,新城路,,0.0026,其他商服用地,出让,29,已完成,一级,买卖,14.6143,2017/3/30 16:10:29
栖霞市万兴商贸有限公司,烟台玮润置业有限公司,,栖国土资转字[2017]23号,迎宾路西侧（原蔬菜公司）,,0.2228,批发零售用地,出让,36,现状,二级,买卖,31.4286,2017/1/16 15:36:13
湖南国中医药有限公司,长沙星都公寓有限公司,,YWSP20170419009,开福区,,1.3415,仓储用地,出让,46,未建,五级,买卖,1400.0000,2017/5/27 10:24:54
昆明天之奇体育服务有限公司,石林天奇实业有限公司,,530125503044GB00001 HCR1 D#02-03,宜良县汤池镇春城湖畔度假村沁风御庭小区,,0.0039,其他普通商品住房用地,私人住房,70,,未评估地区,买卖,140.0000,2017/8/1 10:03:40
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,利合新围D21,澄海区莲下镇利合新围,,1.3334,其他土地,国有出让,41,场地平整,八级,作价出资入股,305.3400,2017/2/4 10:54:30
中山市财兴置业发展公司,中山农村商业银行股份有限公司,,D15ZBR20160399,濠头大道23号濠苑别墅5幢,,0.0280,住宅用地,出让,50,已开发,三级,买卖,109.0494,2017/1/24 10:33:39
廖伟芳,中山三合房地产开发有限公司,,D29JJA20170006,长命水村,,0.1333,住宅用地,出让,51,待开发,三级,作价出资入股,139.9965,2017/1/17 9:13:56
刘正光,湖南通道农村商业银行股份有限公司,,2017-112,双江镇吉祥路,,17.4700,商服用地,国有出让,40,已利用,一级,买卖,102.0000,2017/5/4 11:06:00
